Date,Open,High,Low,Close,cash,shares,position,market_value,equity,daily_return,signal,executed_position
2025-03-18,555.2934322950165,555.5097605205915,549.6500559715837,551.5770874023438,-1.8189894035458565e-12,19.04095226443713,1,10502.552991385295,10502.552991385293,-0.010808487898628982,1,1
2025-03-19,553.3566169353411,561.3399385264869,552.1768030039566,557.584228515625,-1.8189894035458565e-12,19.04095226443713,1,10616.93467856902,10616.934678569018,0.010890845995020992,1,1
2025-03-20,553.848245552193,560.966374832501,553.1304918485869,555.9718627929688,-1.8189894035458565e-12,19.04095226443713,1,10586.233699811108,10586.233699811106,-0.0028916989401737148,1,1
2025-03-21,551.5205297947124,557.0526817242638,550.2878724028328,556.1552734375,-1.8189894035458565e-12,19.04095226443713,1,10589.726013138417,10589.726013138416,0.0003298919546212975,1,1
2025-03-24,562.880651498493,567.1703352751009,562.2890000340255,566.1151733398438,-1.8189894035458565e-12,19.04095226443713,1,10779.371991737517,10779.371991737515,0.01790848775160092,1,1
2025-03-25,567.3182603575567,568.4128457426297,565.7306119858723,567.47607421875,-1.8189894035458565e-12,19.04095226443713,1,10805.2848404094,10805.284840409398,0.0024039293468809397,0,1
2025-03-26,567.2097618801449,568.3339598573967,559.3207546377017,560.7013549804688,10789.416485936206,0.0,0,0.0,10789.416485936206,-0.0014685734534131134,0,0
2025-03-27,559.3108687859911,562.9792883535321,557.101956447335,559.2122802734375,10789.416485936206,0.0,0,0.0,10789.416485936206,0.0,0,0
2025-03-28,557.6837393471919,558.4134627917625,547.3688420558537,547.9506225585938,10789.416485936206,0.0,0,0.0,10789.416485936206,0.0,1,0
2025-03-31,542.201546342058,552.9305994826874,539.282592409213,551.62890625,0.0,19.87938844667439,1,10966.04530575788,10966.04530575788,0.01637056276879334,1,1
2025-04-01,549.715889513425,555.1297110203275,545.9981756472096,553.18701171875,0.0,19.87938844667439,1,10997.01948961205,10997.01948961205,0.002824553701041843,1,1
2025-04-02,547.3491017135567,559.547472787333,547.1124411566806,556.687744140625,0.0,19.87938844667439,1,11066.61190927437,11066.61190927437,0.006328298292828993,0,1
2025-04-03,537.5471385326381,540.3674444952709,529.2538452148438,529.2538452148438,10675.42493844041,0.0,0,0.0,10675.42493844041,-0.035348395158424806,0,0
2025-04-04,516.404523136506,518.5740121118964,498.0527349403516,498.2696838378906,10675.42493844041,0.0,0,0.0,10675.42493844041,0.0,1,0
2025-04-07,482.40291724281104,515.9114550791749,475.115432610906,497.3821716308594,0.0,22.107572598629897,1,10995.912468593418,10995.912468593418,0.03002105602363292,0,1
2025-04-08,514.6196468974629,517.6963548854247,482.3733480760591,489.591796875,11365.617057510279,0.0,0,0.0,11365.617057510279,0.03362200180956454,1,0
2025-04-09,486.5940541464612,541.0084838867188,486.2094505309847,541.0084838867188,0.0,23.33415269305522,1,12623.974571251,12623.974571251,0.1107161632644671,0,1
2025-04-10,524.7866027854379,526.0981670837639,502.25365007002944,517.3019409179688,12233.208331307143,0.0,0,0.0,12233.208331307143,-0.030954295553934363,0,0
2025-04-11,515.7536950429114,528.9874872153164,512.8544826104954,526.5320434570312,12233.208331307143,0.0,0,0.0,12233.208331307143,0.0,0,0
2025-04-14,536.5017912856171,536.7286411738348,526.453165817952,531.6401977539062,12233.208331307143,0.0,0,0.0,12233.208331307143,0.0,0,0
2025-04-15,532.1825399641931,535.6931457102869,529.3622343758641,530.151123046875,12233.208331307143,0.0,0,0.0,12233.208331307143,0.0,0,0
2025-04-16,524.3034408726064,530.4273047249436,513.0714517926509,518.366943359375,12233.208331307143,0.0,0,0.0,12233.208331307143,0.0,1,0
2025-04-17,520.3194821276195,523.800475242003,516.6411916080497,519.1065063476562,-1.8189894035458565e-12,23.487462437110597,1,12192.49456870029,12192.494568700287,-0.0033281344929491086,1,1
2025-04-21,513.9293002870572,514.4618467446136,501.40552056556845,506.7503356933594,-1.8189894035458565e-12,23.487462437110597,1,11902.279474590963,11902.279474590961,-0.02380276591259234,1,1
2025-04-22,512.9235348557764,521.9564215250564,511.9867032226325,519.9348754882812,-1.8189894035458565e-12,23.487462437110597,1,12211.950857774782,12211.95085777478,0.026017821531153507,1,1
2025-04-23,532.9319549297188,537.8625838932508,526.4728430251603,527.991455078125,-1.8189894035458565e-12,23.487462437110597,1,12401.179468262828,12401.179468262826,0.015495362918822586,1,1
2025-04-24,529.2735171048926,539.8349482182391,528.0211780146883,539.105224609375,-1.8189894035458565e-12,23.487462437110597,1,12662.213712662768,12662.213712662766,0.021049146580611966,0,1
2025-04-25,539.0657336001437,543.4046513367819,536.1467793425768,543.0003662109375,12648.628048219318,0.0,0,0.0,12648.628048219318,-0.0010729296434052182,0,0
2025-04-28,543.7399439376,545.8699492792146,537.4583271221219,543.2073974609375,12648.628048219318,0.0,0,0.0,12648.628048219318,0.0,0,0
2025-04-29,541.2943585019403,547.7436606136026,540.9393676118534,546.6293334960938,12648.628048219318,0.0,0,0.0,12648.628048219318,0.0,0,0
2025-04-30,539.9729233205555,548.7987614609631,534.0068741379372,546.84619140625,12648.628048219318,0.0,0,0.0,12648.628048219318,0.0,1,0
2025-05-01,552.595342895286,556.2440206119321,550.1201573586014,550.7216796875,0.0,22.866622136401585,1,12593.14455173845,12593.14455173845,-0.004386522891601463,0,1
2025-05-02,556.894803218062,560.4941864598073,554.5774316657111,558.8966674804688,12721.571915453986,0.0,0,0.0,12721.571915453986,0.010198196581314267,0,0
2025-05-05,554.7648727126054,558.788283367358,553.9069479669498,555.6918334960938,12721.571915453986,0.0,0,0.0,12721.571915453986,0.0,0,0
2025-05-06,550.1891335164119,555.5339182387945,549.232620427504,551.0470581054688,12721.571915453986,0.0,0,0.0,12721.571915453986,0.0,0,0
2025-05-07,552.3784371058738,555.9975022415719,548.3254139860352,553.3645629882812,12721.571915453986,0.0,0,0.0,12721.571915453986,0.0,0,0
2025-05-08,557.3978323656503,562.3974982446085,553.9069681077176,557.2203369140625,12721.571915453986,0.0,0,0.0,12721.571915453986,0.0,1,0
2025-05-09,558.6205173502777,559.6263849147109,554.9521583078488,556.51025390625,-1.8189894035458565e-12,22.75043519461654,1,12660.850466633736,12660.850466633734,-0.0047731089541291905,1,1
2025-05-12,573.402558732667,574.9113601462691,569.0340285188223,574.9014892578125,-1.8189894035458565e-12,22.75043519461654,1,13079.2590746484,13079.259074648398,0.033047433039141705,1,1
2025-05-13,575.3157161654024,580.907093658496,574.7536773375426,578.6981811523438,-1.8189894035458565e-12,22.75043519461654,1,13165.635467548858,13165.635467548856,0.006604073855214221,1,1
2025-05-14,579.6546018902411,580.8083522191259,577.4160770724685,579.4376831054688,-1.8189894035458565e-12,22.75043519461654,1,13182.45945880972,13182.459458809719,0.0012778715696883935,0,1
2025-05-15,577.4358426248243,582.770756919371,576.9822030720642,582.2678833007812,13123.783084197354,0.0,0,0.0,13123.783084197354,-0.004451094637969999,0,0
2025-05-16,583.0469103495059,586.2518193704545,581.1042713102905,585.9559936523438,13123.783084197354,0.0,0,0.0,13123.783084197354,0.0,0,0
2025-05-19,579.9405744991373,587.2773530559552,579.9405744991373,586.596923828125,13123.783084197354,0.0,0,0.0,13123.783084197354,0.0,0,0
2025-05-20,584.8614155899625,585.8080578995526,581.419785763877,584.6246948242188,13123.783084197354,0.0,0,0.0,13123.783084197354,0.0,0,0
