date,timestamp,model_action,market_price,position,position_size,cash,entry_date,entry_price,current_equity,realized_pnl,unrealized_pnl,cumulative_return,maximum_drawdown,trade_count,winning_trades,losing_trades,win_rate,time_in_market,transaction_cost,transaction_costs
2018-06-18,2018-06-18,0,244.86019897460935,0,0.0,25.594697611933498,,,25.594697611933498,15.594697611933498,0.0,1.5594697611933497,-0.04097433923154026,266,109,24,0.8195488721804511,0.5505952380952381,0.0,2.1502737100468186
2018-06-19,2018-06-19,1,243.9216766357422,1,0.10487754516711797,0.0,2018-06-19,243.9216766357422,25.581906658604197,15.594697611933498,-0.012790953329302098,1.5581906658604199,-0.04097433923154026,267,109,24,0.8195488721804511,0.5512630014858841,0.012790953329302098,2.1630646633761206
2018-06-20,2018-06-20,0,244.3377685546875,0,0.0,25.612732584948244,,,25.612732584948244,15.612732584948244,0.0,1.5612732584948246,-0.04097433923154026,268,110,24,0.8208955223880597,0.5504451038575667,0.01281277267881353,2.175877436054934
2018-06-21,2018-06-21,1,242.8061370849609,1,0.10543363082161794,0.0,2018-06-21,242.8061370849609,25.599932618638924,15.612732584948244,-0.012799966309319462,1.5599932618638923,-0.04097433923154026,269,110,24,0.8208955223880597,0.5511111111111111,0.012799966309319462,2.1886774023642537
2018-06-22,2018-06-22,0,243.24884033203125,0,0.0,25.633785125139394,,,25.633785125139394,15.633785125139394,0.0,1.5633785125139394,-0.04097433923154026,270,111,24,0.8222222222222222,0.5502958579881657,0.012823304214677035,2.2015007065789307
2018-06-25,2018-06-25,1,239.93746948242188,1,0.10678188235079936,0.0,2018-06-25,239.93746948242188,25.620974637820485,15.633785125139394,-0.012810487318910243,1.5620974637820484,-0.04097433923154026,271,111,24,0.8222222222222222,0.55096011816839,0.012810487318910243,2.214311193897841
2018-06-26,2018-06-26,0,240.4687347412109,0,0.0,25.66486529011047,,,25.66486529011047,15.66486529011047,0.0,1.5664865290110468,-0.04097433923154026,272,112,24,0.8235294117647058,0.5501474926253688,0.01283885207109078,2.2271500459689317
2018-06-27,2018-06-27,0,238.47657775878903,0,0.0,25.66486529011047,,,25.66486529011047,15.66486529011047,0.0,1.5664865290110468,-0.04097433923154026,272,112,24,0.8235294117647058,0.5493372606774669,0.0,2.2271500459689317
2018-06-28,2018-06-28,1,239.840087890625,1,0.10695476096628773,-3.552713678800501e-15,2018-06-28,239.840087890625,25.652039270475232,15.66486529011047,-0.012826019635237619,1.565203927047523,-0.04097433923154026,273,112,24,0.8235294117647058,0.55,0.012826019635237619,2.239976065604169
2018-06-29,2018-06-29,0,240.18540954589844,0,0.0,25.6761285790387,,,25.6761285790387,15.6761285790387,0.0,1.5676128579038702,-0.04097433923154026,274,113,24,0.8248175182481752,0.5491923641703378,0.012844486532785745,2.252820552136955
