bootstrap_return,bootstrap_max_drawdown
0.6376899272447178,-0.045453703518488875
0.45395988626275585,-0.057046496791332224
0.6346798412535088,-0.09571436665481659
0.18932390134948607,-0.0730195949536574
0.4577954849134491,-0.04912943835010408
0.34791635000433896,-0.07620297870383697
0.40611985175832865,-0.0574937534943073
0.7195259337060647,-0.05260588148840739
0.44861970156880715,-0.10566365396425936
0.5265424388528916,-0.055461522277728936
0.3201501238750386,-0.15603713369791405
0.19365732436554484,-0.09817834581632057
0.34447181009886907,-0.06482665737620896
0.17447618424345945,-0.08123477745641638
0.19500289551104832,-0.0936382738752155
0.22842571084579566,-0.06896816503480063
0.4157553487597456,-0.09812994406088393
0.3777155262892655,-0.0821152016747132
0.7114164860013674,-0.033936425930941816
0.6085177628594232,-0.03958043871896855
0.2162453400268496,-0.059555522601490996
0.29813963134534927,-0.07418111741289246
0.38502945488077267,-0.04465359295872395
0.44278628541200926,-0.05776576975854519
0.7110256913072126,-0.02769537972403846
0.27885647411712466,-0.07034509066215655
0.5179742649058703,-0.06443669207232172
-0.006452726435105638,-0.1386071932578964
0.7329315370599498,-0.02208749362671736
0.7197270389910981,-0.037354157664092
0.1169785392381042,-0.07431550667217857
0.31730503176381886,-0.05249009708364816
0.6754965663273329,-0.05080387881306159
0.6275398517996873,-0.038804504164659526
0.6683269811230141,-0.04256440745929557
0.3735149470276393,-0.08979732227232917
0.38714923335742357,-0.08722812469050134
0.4210549014223439,-0.07387298084134475
0.33152732497903226,-0.08864039666194734
0.891930853938544,-0.03817789232528879
0.8779794344159688,-0.03907714207038582
0.4987465482576119,-0.07735908553380078
0.47480793383684783,-0.04866745325772459
0.38953308737433145,-0.06111390650459558
0.6594853193197137,-0.04085883696843884
0.12743592487355948,-0.07914887854615593
0.6272247024836268,-0.07268062842568834
0.5671283416761037,-0.041238036563724934
0.4241012721569375,-0.034529971274903426
0.3551317959406668,-0.07424813086374438
0.8797469911835578,-0.03140296323583691
0.5660524082521585,-0.07517107390978695
0.39176320041029755,-0.10680396862874997
0.3658945603858834,-0.048293880593822114
0.1803481660320787,-0.07713469406102957
0.46675572175593527,-0.07909044108080121
0.7144603125982898,-0.06335367406654602
0.9098672473760154,-0.03255699866964967
0.5458377675813164,-0.09940384811797165
0.9689863076999619,-0.05575382496155712
0.4051465647534147,-0.08495503819699657
0.8190027143356917,-0.0727295114537162
0.3770274370148192,-0.052861147603496916
0.6055877753942631,-0.04529156360603026
0.45600087885648666,-0.06064327882941356
0.34476769779523897,-0.07257246381159432
1.0088534644679803,-0.043524249438637086
0.5930907428577639,-0.04470271363516254
0.38771883371682536,-0.08019543122017403
0.9263100330863241,-0.03690804143026116
0.2568683884509182,-0.05836691655851722
0.40179650894273133,-0.10886269375377355
