Date,action,daily_return,equity
2024-04-12,1,-0.0125281053527487,10364.64837832808
2024-04-15,0,0.0,10359.466054138917
2024-04-16,0,0.0,10359.466054138917
2024-04-17,0,0.0,10359.466054138917
2024-04-18,0,0.0,10359.466054138917
2024-04-19,0,0.0,10359.466054138917
2024-04-22,0,0.0,10359.466054138917
2024-04-23,1,-0.0004746523967652,10349.371634292738
2024-04-24,0,0.0,10344.196948475592
2024-04-25,1,0.0094739542976429,10436.976298912463
2024-04-26,0,0.0,10431.757810763007
2024-04-29,0,0.0,10431.757810763007
2024-04-30,0,0.0,10431.757810763007
2024-05-01,1,0.0093533870285293,10524.065413915481
2024-05-02,1,0.0123953325435501,10654.514704431038
2024-05-03,1,0.0103269181377565,10764.543005581221
2024-05-06,1,0.0011033019458035,10776.419546824965
2024-05-07,1,9.654237104061993e-05,10777.459927919344
2024-05-08,1,0.0057620475429824,10839.560164416604
2024-05-09,1,0.0012882288741851,10853.523998803872
2024-05-10,0,0.0,10848.097236804471
2024-05-13,1,0.0045880418867521,10892.419826937832
2024-05-14,1,0.0123831883588219,11027.30271333817
2024-05-15,1,-0.0020575211449046,11004.61380483421
2024-05-16,0,0.0,10999.111497931794
2024-05-17,0,0.0,10999.111497931794
2024-05-20,0,0.0,10999.111497931794
2024-05-21,0,0.0,10999.111497931794
2024-05-22,1,-0.0073041620355116,10913.312819201588
2024-05-23,1,0.0066163943999355,10985.5196010233
2024-05-24,1,0.0006987515410241,10993.195749773466
2024-05-28,1,-0.0070025123056838,10916.215761256886
2024-05-29,1,-0.0066336979416805,10843.800883230497
2024-05-30,0,0.0,10838.378982788881
2024-05-31,1,0.0008154780370048,10841.793834084678
2024-06-03,1,0.0011175332656163,10853.909899353222
2024-06-04,1,0.0118851812884879,10982.910586195949
2024-06-05,0,0.0,10977.419130902852
2024-06-06,0,0.0,10977.419130902852
2024-06-07,0,0.0,10977.419130902852
2024-06-10,0,0.0,10977.419130902852
2024-06-11,1,0.0082129926496896,11062.042805240751
2024-06-12,0,0.0,11056.511783838132
2024-06-13,0,0.0,11056.511783838132
2024-06-14,1,0.0079589436346869,11138.937682952992
2024-06-17,0,0.0,11133.368214111517
2024-06-18,0,0.0,11133.368214111517
2024-06-20,1,-0.0013404933262958,11112.884786317147
2024-06-21,0,0.0,11107.32834392399
2024-06-24,0,0.0,11107.32834392399
2024-06-25,0,0.0,11107.32834392399
2024-06-26,0,0.0,11107.32834392399
2024-06-27,0,0.0,11107.32834392399
2024-06-28,0,0.0,11107.32834392399
2024-07-01,0,0.0,11107.32834392399
2024-07-02,0,0.0,11107.32834392399
2024-07-03,0,0.0,11107.32834392399
2024-07-05,0,0.0,11107.32834392399
